"name","id","section","coordinates","price","description","img"
"IKEA 365+","11","Dining room","","19","Stainless steel","https://www.ikea.com/gb/en/images/products/ikea-365-4-piece-serving-set-stainless-steel__0713271_pe729381_s5.jpg?f=l"
"ANNONS - 5-piece Kitchen set","12","Kitchen","","12","Stainless steel","https://www.ikea.com/gb/en/images/products/annons-5-piece-cookware-set-glass-stainless-steel__43510_pe139263_s5.jpg?f=l"
"ANNONS - Pot with lid","13","Kitchen","","7","Stainless steel","https://www.ikea.com/gb/en/images/products/annons-pot-with-lid-glass-stainless-steel__0714768_pe730240_s5.jpg?f=l"
"HEMLAGAD - Saucepan","14","Kitchen","","12","Black","https://www.ikea.com/gb/en/images/products/hemlagad-saucepan-black__0789069_pe763804_s5.jpg?f=l"
"HEMALAGAD - Pot with lid","15","Kitchen","","19","Black","https://www.ikea.com/gb/en/images/products/hemlagad-pot-with-lid-black__0789051_pe763794_s5.jpg?f=l"
"SNITSIG - Pot with lid","16","Cookshop","","12","Stainless steel","https://www.ikea.com/gb/en/images/products/snitsig-pot-with-lid-stainless-steel__0712836_pe729099_s5.jpg?f=l"
"MALM - Ottoman bed","17","Bedroom","","359","This bed gives you spacious storage without taking up more floor space. Simply flip up the bed base and hide your things inside. Place it freestanding or with the headboard against a wall.","https://www.ikea.com/gb/en/images/products/malm-ottoman-bed-white__0764898_pe753384_s5.jpg?f=l"
"MALM - Bed frame, high","18","Bedroom","","189","This bed gives you spacious storage without taking up more floor space. Simply flip up the bed base and hide your things inside. Place it freestanding or with the headboard against a wall.        ",""
"HEMNES - Bed frame","19","Bedroom","","299","Bed frame with 2 storage boxes, white","https://www.ikea.com/gb/en/images/products/hemnes-bed-frame-with-2-storage-boxes-white-stain-luroey__0948865_pe799352_s5.jpg?f=l"
"HEMNES - Bedframe, standard","20","Bedroom","","229","Standard, single","https://www.ikea.com/gb/en/images/products/hemnes-bed-frame-white-stain-loenset__0637616_pe698429_s5.jpg?f=l"
"HEMNES - Bed frame, black-brown","21","Bedroom","","179","Standard single","https://www.ikea.com/gb/en/images/products/hemnes-bed-frame-black-brown__0655475_pe709045_s5.jpg?f=xl"
"Dvala - Fitted sheet","22","Bedroom","","22","Double","https://www.ikea.com/gb/en/images/products/nattjasmin-fitted-sheet-dark-grey__0668967_pe714788_s5.jpg?f=xl"
"NATTJASMIN - Sheet","23","Bedroom","","15","White","https://www.ikea.com/gb/en/images/products/dvala-sheet-white__0604337_pe681197_s5.jpg?f=xl"
"NATTJASMIN - Sheet","24","Bedroom","","15","Gray","https://www.ikea.com/gb/en/images/products/nattjasmin-sheet-dark-grey__0668978_pe714792_s5.jpg?f=m"
"ULLVIDE - Pillowcase","25","Bedroom","","6","White","https://www.ikea.com/gb/en/images/products/ullvide-pillowcase-white__0607075_pe682722_s5.jpg?f=m"
"ULLVIDE - Fitted sheet","26","Bedroom","","15","White","https://www.ikea.com/gb/en/images/products/ullvide-fitted-sheet-white__0604096_pe681036_s5.jpg?f=xl"
"ENHET - Wash-stand","27","Bathroom","","214","2 drawers, White","https://www.ikea.com/gb/en/images/products/enhet-tvaellen-wash-stand-with-2-drawers-white-frame-white-pilkan-tap__1017201_pe830759_s5.jpg?f=m"
"ENHET - Wash-basin cabinet","28","Bathroom","","186","2 doors, White","https://www.ikea.com/gb/en/images/products/enhet-tvaellen-wash-basin-cabinet-with-2-doors-white-pilkan-tap__0831352_pe777073_s5.jpg?f=xl"
"ENHET - Bs cb f wb w shlf/doors","29","Bathroom","","90","Doors and shelves, White/concrete","https://www.ikea.com/gb/en/images/products/enhet-bs-cb-f-wb-w-shlf-doors-white-concrete-effect__0816070_pe773273_s5.jpg?f=xl"
"ENSEN - Wash-basin mixer tap","30","Bathroom","","60","Chrome plated","https://www.ikea.com/gb/en/images/products/ensen-wash-basin-mixer-tap-with-strainer-chrome-plated__0755162_pe748289_s5.jpg?f=xl"
"SALJEN - Wash-basin mixer tap","31","Bathroom","","20","Black","https://www.ikea.com/gb/en/images/products/saljen-wash-basin-mixer-tap-black__0914013_pe783826_s5.jpg?f=xl§§"
"VOXNAN - Wash-basin mixer tap","32","Bathroom","","75","Chrome plated","https://www.ikea.com/gb/en/images/products/voxnan-wash-basin-mixer-tap-with-strainer-chrome-plated__0755175_pe748302_s5.jpg?f=xl"
"FOTINGEN - Shower tray","33","Bathroom","","179","White, sleek","https://www.ikea.com/gb/en/images/products/fotingen-shower-tray__0833137_pe778679_s5.jpg?f=s"
"BROGRUND - Shower set with thermostatic mixer","34","Bathroom","","215","Chrome plated","https://www.ikea.com/gb/en/images/products/brogrund-shower-set-with-thermostatic-mixer-chrome-plated__0755271_pe748315_s5.jpg?f=xl"
"CHAMAEDOREA ELEGANS - Potted plant","35","Home decoration","","2","Parlor palm, 9cm","https://www.ikea.com/gb/en/images/products/chamaedorea-elegans-potted-plant-parlour-palm__0797381_pe766847_s5.jpg?f=s"
"KONSTFULL - Vase","36","Home decoration","","4","Frosted glass/black, 10cm","https://www.ikea.com/gb/en/images/products/konstfull-vase-frosted-glass-black__1081152_pe858271_s5.jpg?f=xl"
"SOCKERÄRT - Vase","37","Home decoration","0","12","Black","https://www.ikea.com/gb/en/images/products/sockeraert-vase-black__0444812_pe595263_s5.jpg?f=xl"
"FEJKA - Weeping fig","38","Home decoration","","60","Artificial potted plant, 21cm","https://www.ikea.com/gb/en/images/products/fejka-artificial-potted-plant-in-outdoor-weeping-fig__0748885_pe745274_s5.jpg?f=xl"
"FEJKA - Monstera","39","Home decoration","","45","Artificial potted plant, 19cm","https://www.ikea.com/gb/en/images/products/fejka-artificial-potted-plant-in-outdoor-monstera__0614197_pe686822_s5.jpg?f=m"
"DYPSIS LUTESCENS - Areca palm","40","Home decoration","","37","Artificial potted plant, 24cm","https://www.ikea.com/gb/en/images/products/dypsis-lutescens-potted-plant-areca-palm__0653973_pe708202_s5.jpg?f=xl"
"SPATHIPHYLLUM - Peace lily","41","Home decoration","","27","Artificial potted plant, 24cm","https://www.ikea.com/gb/en/images/products/spathiphyllum-potted-plant-peace-lily__0654013_pe708240_s5.jpg?f=xl"
"CRASSULA OVATA - Money tree","42","Home decoration","","25","Artificial potted plant, 22cm","https://www.ikea.com/gb/en/images/products/crassula-ovata-potted-plant-with-pot-money-tree__0997115_pe822606_s5.jpg?f=xl"
"RADERMACHERA - China doll","43","Home decoration","","8","Artificial potted plant, 15cm","https://www.ikea.com/gb/en/images/products/radermachera-potted-plant-china-doll__0828433_pe776593_s5.jpg?f=xl"
"LEDSJÖ - LED wall lamp","44","Lighting","","55","Stainless steel","https://www.ikea.com/gb/en/images/products/ledsjoe-led-wall-lamp-stainless-steel__0582357_pe670678_s5.jpg?f=xl"
"KABOMBA - LED wall lamp","45","Lighting","","65","Dimmable chrome-plated/glossy","https://www.ikea.com/gb/en/images/products/kabomba-led-wall-lamp-dimmable-chrome-plated-glossy__0990219_pe818790_s5.jpg?f=s"
"KABOMBA - LED wall lamp with mirror","46","Lighting","","60","Dimmable chrome-plated/glossy","https://www.ikea.com/gb/en/images/products/kabomba-led-wall-lamp-with-mirror-dimmable-chrome-plated-glossy__1013466_pe829206_s5.jpg?f=s"
"","47","Lighting","","","",""
"STOFTMOLN - LED ceiling/wall lamp","48","Lighting","","13","Smart wireless dimmable/warm white white, 24cm","https://www.ikea.com/gb/en/images/products/stoftmoln-led-ceiling-wall-lamp-smart-wireless-dimmable-warm-white-white__1014412_pe829650_s5.jpg?f=s"
"HYBY - Ceiling lamp","49","Lighting","","15","White","https://www.ikea.com/gb/en/images/products/hyby-ceiling-lamp-white__0607749_pe683178_s5.jpg?f=s"
"NYMÅNE - Ceiling spotlight with 3 spots","50","Lighting","","35","White","https://www.ikea.com/gb/en/images/products/nymane-ceiling-spotlight-with-3-spots-white__0607344_pe682893_s5.jpg?f=s"
"KLEPPSTAD - Bed frame","51","Bedroom","","129","White/Vissle beige, 160x200 cm","https://www.ikea.com/nl/en/images/products/kleppstad-bed-frame-white-vissle-beige__1035340_pe840527_s5.jpg?f=s"
"ÅSVANG - Foam mattress","52","Bedroom","","119","Firm/white, 160x200 cm","https://www.ikea.com/nl/en/images/products/asvang-foam-mattress-firm-white__0986619_pe818095_s5.jpg?f=s"
